,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2002-09,34.28M,34.28M,6.577M,27.70M,12.93M,50.62M,,,,,,,,63.55M,-35.85M,,,,,,-33.45M,,-33.45M,,,,-33.45M,-33.45M,-29.28M,6.572M,-35.85M,-0.44,0.0,,-0.44,-0.44,-0.44,0.0,,-0.44,-0.44,75.98M,75.98M
2002-06,42.33M,42.33M,6.462M,35.87M,13.35M,46.55M,,,,,,,,59.89M,-24.03M,,,,,,,,-21.02M,,,,-21.02M,-21.02M,-17.74M,6.281M,-24.03M,-0.28,0.0,,-0.28,-0.28,-0.28,0.0,,-0.28,-0.28,75.66M,75.66M
2002-03,40.70M,40.70M,8.641M,32.05M,11.10M,47.02M,,,,,,,,58.12M,-26.06M,,,,,,,,-22.07M,,,,-22.07M,-22.07M,-20.78M,5.282M,-26.06M,-0.29,0.0,,-0.29,-0.29,-0.29,0.0,,-0.29,-0.29,75.16M,75.16M
2001-12,-41.45M,-30.67M,-25.84M,-4.826M,-3.946M,36.28M,,,18.97M,,,,,55.29M,-60.12M,,,,18.97M,,,,-25.41M,,0.00,,-3.26M,-36.79M,-54.39M,5.724M,-60.12M,-0.15,0.11,0.0,-0.3019,-0.04,-0.15,,0.0,-0.3016,-0.0434,74.90M,75.06M
2001-09,40.37M,40.37M,10.55M,29.82M,11.62M,38.60M,,,-16.12M,,,,,50.22M,-20.40M,,,,-16.12M,,-29.23M,,-29.23M,,17.75M,,-11.48M,-13.11M,-13.74M,6.658M,-20.40M,-0.39,0.24,0.0,-0.1741,-0.15,-0.39,0.24,0.2377,-0.1741,-0.15,74.68M,74.68M
2001-06,21.44M,21.44M,0.921M,20.52M,10.18M,27.79M,,,,,,,,37.97M,-17.45M,,,,-0.326M,,-12.11M,,-12.11M,,,,-12.11M,-12.11M,-14.39M,3.059M,-17.45M,-0.2,0.0,,-0.2,-0.2,-0.2,0.0,,-0.2,-0.2,60.34M,60.34M
2001-03,19.06M,19.06M,0.837M,18.22M,7.496M,26.12M,,,,,,,,33.62M,-15.40M,,,,,,,,-8.87M,,,,-8.87M,-8.87M,-12.87M,2.523M,-15.40M,-0.15,0.0,,-0.15,-0.15,-0.15,0.0,,-0.15,-0.15,60.01M,60.01M
2000-12,94.86M,94.86M,50.21M,44.65M,21.54M,42.66M,,,-1.027M,,,,,57.81M,-13.16M,,,,-1.027M,,,,-3.175M,,,,-6.336M,-2.559M,-6.769M,6.393M,-13.16M,-0.1063,,,-0.0959,-0.1063,-0.1063,,,-0.0959,-0.1063,59.61M,59.61M
2000-09,13.87M,13.87M,-1.167M,15.03M,6.543M,21.35M,,,-14.79M,,,,,30.20M,-15.17M,,,,-14.79M,,,,-24.86M,,,,-24.86M,-15.98M,-12.86M,2.314M,-15.17M,-0.46,0.0,,-0.2952,-0.46,-0.46,0.0,,-0.2952,-0.46,53.84M,53.84M
2000-06,37.03M,37.03M,-1.01M,38.04M,6.658M,19.82M,,,0.005M,,,,,28.59M,9.452M,,,,0.005M,,,,12.61M,,,,12.61M,12.61M,11.56M,2.11M,9.452M,0.24,0.0,,0.2399,0.24,0.21,0.0,,0.2099,0.21,52.64M,58.95M
2000-03,8.132M,8.132M,-1.103M,9.235M,6.577M,18.60M,1.924M,0.051M,,,,,,27.16M,-17.92M,,,,0.019M,,,,-15.55M,,-3.161M,,-18.71M,-15.55M,-15.95M,1.975M,-17.92M,-0.3,-0.06,0.0,-0.3,-0.36,-0.3,-0.06,-0.0609,-0.3,-0.36,51.93M,51.93M
1999-12,26.90M,26.90M,-1.00M,27.90M,8.40M,18.10M,,,-0.146M,,,,,28.50M,-0.604M,,,,-0.146M,,,,1.70M,,,,1.70M,1.788M,1.396M,2.00M,-0.604M,0.04,0.0,,0.0417,0.04,0.04,0.0,,0.0417,0.04,51.64M,51.64M
1999-09,7.20M,7.20M,-1.00M,8.20M,6.40M,16.40M,,,-0.129M,,,,,24.50M,-16.30M,,,,-0.129M,,,,-14.30M,,,,-14.30M,-14.22M,-14.60M,1.625M,-16.30M,-0.28,0.0,,-0.2785,-0.28,-0.28,0.0,,-0.2785,-0.28,51.07M,51.07M
1999-06,12.52M,12.52M,-0.217M,12.73M,5.466M,19.03M,,,-0.303M,,,,,25.91M,-13.18M,,,,-0.303M,,,,-10.84M,,,,-10.84M,-10.66M,-11.70M,1.475M,-13.18M,-0.21,0.0,,-0.2064,-0.21,-0.21,0.0,,-0.2064,-0.21,50.96M,50.96M
1999-03,4.00M,4.00M,-1.20M,5.20M,5.80M,18.60M,,,3.10M,,,,,25.60M,-20.40M,,,,3.10M,,,,-17.60M,,,,-17.60M,-19.46M,-19.20M,1.20M,-20.40M,-0.35,0.0,,-0.387,-0.35,-0.35,0.0,,-0.387,-0.35,50.29M,50.29M
1998-12,-3.60M,-3.60M,-1.40M,-2.20M,5.90M,18.10M,,,,,,,,25.50M,-27.70M,,,,,,,,-12.60M,,,,-12.60M,-12.60M,-26.20M,1.50M,-27.70M,-0.24,0.0,,-0.24,-0.24,-0.24,0.0,,-0.24,-0.24,52.39M,52.39M
1998-09,18.40M,18.40M,-1.10M,19.50M,4.80M,15.70M,,,,,,,,21.60M,-2.10M,,,,,,,,-2.30M,,,,-2.30M,-2.30M,-1.00M,1.10M,-2.10M,-0.05,0.0,,-0.05,-0.05,-0.05,0.0,,-0.05,-0.05,46.00M,46.00M
1998-06,7.20M,7.20M,-1.10M,8.30M,4.20M,12.60M,,,,,,,,17.90M,-9.60M,,,,,,,,-9.80M,,,,-9.80M,-9.80M,-8.50M,1.10M,-9.60M,-0.2,0.0,,-0.2,-0.2,-0.2,0.0,,-0.2,-0.2,49.00M,49.00M
