,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-12,7.016B,7.016B,6.367B,649.00M,,3.00M,,,,,3.00M,646.00M,,,,70.00M,,771.00M,299.00M,438.00M,,,-34.00M,438.00M,438.00M,899.00M,253.00M,646.00M,0.21,0.0,,0.21,0.21,0.21,0.0,,0.21,0.21,2.039B,2.04B,0.21
2001-09,5.786B,5.786B,5.281B,505.00M,,145.00M,-126.00M,,,,145.00M,360.00M,,,,-60.00M,,253.00M,96.00M,53.00M,,0.00,-21.00M,53.00M,131.19M,757.00M,397.00M,360.00M,-0.11,0.13,0.0,-0.0735,0.02,-0.11,0.13,0.0,-0.0735,0.02,2.145B,2.145B,0.0
2001-06,5.96B,5.96B,4.932B,1.028B,,145.00M,-138.00M,,,,145.00M,883.00M,,,,-52.00M,,731.00M,339.00M,392.00M,,,-20.00M,392.00M,474.80M,1.291B,408.00M,883.00M,0.19,0.0,,0.2296,0.19,0.19,0.0,,0.2293,0.19,2.091B,2.107B,0.0
2001-03,6.049B,6.049B,5.133B,916.00M,,184.00M,-996.00M,,,,184.00M,732.00M,,,,-930.00M,,-296.00M,238.00M,-567.00M,,,-33.00M,-567.00M,30.60M,1.151B,419.00M,732.00M,-0.26,0.0,,0.027,-0.26,-0.26,0.0,,0.0248,-0.26,2.082B,2.098B,0.0
2000-12,7.433B,7.433B,6.283B,1.15B,,293.00M,-78.00M,,,,293.00M,857.00M,,,,-78.00M,,628.00M,386.00M,242.00M,,-278.00M,-30.00M,-36.00M,288.80M,1.387B,530.00M,857.00M,0.03,0.0,0.0,0.0525,0.03,0.03,0.0,-0.1335,0.0523,0.03,2.082B,2.103B,0.21
2000-09,6.118B,6.118B,5.334B,784.00M,,323.00M,122.00M,,,,323.00M,461.00M,,,,175.00M,,556.00M,368.00M,167.00M,,,-21.00M,167.00M,93.80M,1.027B,566.00M,461.00M,0.079,,,0.0444,0.079,0.079,,,0.0444,0.079,2.114B,2.114B,0.0
2000-06,6.053B,6.053B,4.935B,1.118B,,340.00M,93.00M,,,,340.00M,778.00M,,,,174.00M,,828.00M,425.00M,361.00M,,,-42.00M,361.00M,305.20M,1.38B,602.00M,778.00M,0.21,0.0,,0.1831,0.21,0.21,0.0,,0.1836,0.21,2.078B,2.115B,0.0
2000-03,6.307B,6.307B,5.549B,758.00M,,344.00M,-36.00M,,,,344.00M,414.00M,,,,27.00M,,-320.00M,223.00M,77.00M,,,-20.00M,77.00M,98.60M,985.00M,571.00M,414.00M,-0.08,0.0,,-0.0696,-0.08,-0.08,0.0,,-0.0697,-0.08,2.069B,2.103B,0.0
1999-12,6.94B,6.94B,5.612B,1.328B,,,254.00M,,,,456.00M,872.00M,,,,254.00M,,905.00M,590.00M,315.00M,,,-24.00M,315.00M,162.60M,1.328B,456.00M,872.00M,0.17,0.0,,0.0962,0.17,0.17,0.0,,0.0968,0.17,2.064B,2.081B,0.21
1999-09,5.791B,5.791B,4.27B,1.521B,15.00M,,-208.00M,,,,1.005B,516.00M,,,,-208.00M,,180.00M,95.00M,85.00M,,,-20.00M,85.00M,209.80M,1.506B,990.00M,516.00M,0.04,0.0,,0.0997,0.04,0.04,0.0,,0.0985,0.04,2.092B,2.135B,0.0
1999-06,5.531B,5.531B,3.697B,1.834B,17.00M,,-87.00M,,,,891.00M,943.00M,,,,-87.00M,,664.00M,296.00M,368.00M,,,-26.00M,368.00M,420.20M,1.822B,879.00M,943.00M,0.18,0.0,,0.2054,0.18,0.18,0.0,,0.205,0.18,2.059B,2.086B,0.0
1999-03,5.516B,5.516B,3.839B,1.677B,70.00M,,-75.00M,,,,1.012B,665.00M,,,,-75.00M,,395.00M,169.00M,226.00M,,,-21.00M,226.00M,271.00M,1.607B,942.00M,665.00M,0.11,0.0,,0.1319,0.11,0.11,0.0,,0.1319,0.11,2.055B,2.055B,0.0
1998-12,6.597B,6.597B,4.591B,2.006B,38.00M,,261.00M,,,,1.006B,1.00B,,,,261.00M,,1.075B,453.00M,622.00M,,,-22.00M,622.00M,465.40M,1.968B,968.00M,1.00B,0.3,0.0,,0.2245,0.3,0.3,0.0,,0.2245,0.3,2.073B,2.073B,0.0525
1998-09,6.147B,6.147B,4.145B,2.002B,-11.00M,,,,,,1.176B,826.00M,,,,,,513.00M,217.00M,296.00M,,,,296.00M,296.00M,2.013B,1.187B,826.00M,0.1429,,,0.1429,0.1429,0.1429,,,0.1429,0.1429,2.071B,2.071B,0.0525
1998-06,5.248B,5.248B,3.052B,2.196B,49.00M,,,,,,1.322B,874.00M,,,,,,713.00M,298.00M,415.00M,,,,415.00M,415.00M,2.147B,822.00M,874.00M,0.0667,0.0,,0.0667,0.0667,0.0667,0.0,,0.0667,0.0667,2.069B,2.069B,0.0
